Order ID,Order Date,Customer ID,Ship Date,Ship Mode,Segment
CA-2016-152156,11-08-2016,CG-12520,11-11-2016,Second Class,Consumer
CA-2016-152156,11-08-2016,CG-12520,11-11-2016,Second Class,Consumer
CA-2016-138688,06-12-2016,DV-13045,6/16/2016,Second Class,Corporate
US-2015-108966,10-11-2015,SO-20335,10/18/2015,Standard Class,Consumer
US-2015-108966,10-11-2015,SO-20335,10/18/2015,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2014-115812,06-09-2014,BH-11710,6/14/2014,Standard Class,Consumer
CA-2017-114412,4/15/2017,AA-10480,4/20/2017,Standard Class,Consumer
CA-2016-161389,12-05-2016,IM-15070,12-10-2016,Standard Class,Consumer
US-2015-118983,11/22/2015,HP-14815,11/26/2015,Standard Class,Home Office
US-2015-118983,11/22/2015,HP-14815,11/26/2015,Standard Class,Home Office
CA-2014-105893,11-11-2014,PK-19075,11/18/2014,Standard Class,Consumer
CA-2014-167164,5/13/2014,AG-10270,5/15/2014,Second Class,Consumer
CA-2014-143336,8/27/2014,ZD-21925,09-01-2014,Second Class,Consumer
CA-2014-143336,8/27/2014,ZD-21925,09-01-2014,Second Class,Consumer
CA-2014-143336,8/27/2014,ZD-21925,09-01-2014,Second Class,Consumer
CA-2016-137330,12-09-2016,KB-16585,12/13/2016,Standard Class,Corporate
CA-2016-137330,12-09-2016,KB-16585,12/13/2016,Standard Class,Corporate
US-2017-156909,7/16/2017,SF-20065,7/18/2017,Second Class,Consumer
CA-2015-106320,9/25/2015,EB-13870,9/30/2015,Standard Class,Consumer
CA-2016-121755,1/16/2016,EH-13945,1/20/2016,Second Class,Consumer
CA-2016-121755,1/16/2016,EH-13945,1/20/2016,Second Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
US-2015-150630,9/17/2015,TB-21520,9/21/2015,Standard Class,Consumer
CA-2017-107727,10/19/2017,MA-17560,10/23/2017,Second Class,Home Office
